Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042127~regulation of cell population proliferation	10	4.878048780487805	5.808360805696306E-6	TFAP2A, TFAP2B, TGFB2, JUN, WNT7A, SOX9, SLC7A11, NR3C1, TBX3, TGFBR2	202	188	29712	7.823888771855909	0.011985783385385917	3.0918351365706495E-4	2.8654579974768445E-4
KEGG_PATHWAY	mmu04310:Wnt signaling pathway	12	5.853658536585367	5.9462451139311895E-6	TLE4, FZD1, WNT10B, JUN, BAMBI, CTNND2, MYC, WNT5A, RSPO2, WNT7A, PRICKLE1, APCDD1	113	175	9565	5.804298356510746	0.001390457909923537	0.0013914213566598983	0.0013260126604066553
GOTERM_BP_DIRECT	GO:0030282~bone mineralization	7	3.414634146341464	6.867799781879346E-6	RSPO2, ENPP1, ALPL, SOX9, PRICKLE1, MTSS1, PTHLH	202	68	29712	15.141525917297614	0.014156443037643962	3.5643880867953804E-4	3.303411695083966E-4
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	16	7.804878048780488	7.809014367809242E-6	TLE4, TFAP2A, TFAP2B, DLX2, JUN, DLX3, SFMBT2, HOXC13, SMAD6, KLF14, NR3C1, POU4F1, BARX2, LHX2, CREB3L1, SOX9	198	561	28924	4.166297556671888	0.003772444097768224	2.907356118476672E-4	2.8112451724113274E-4
GOTERM_BP_DIRECT	GO:0060070~canonical Wnt signaling pathway	8	3.902439024390244	1.0947656709004053E-5	FZD1, WNT10B, WNT5A, RSPO2, WNT7A, SOSTDC1, SOX9, GATA3	202	111	29712	10.6010168584426	0.022471136551936333	5.54325251899815E-4	5.137388172713122E-4
GOTERM_MF_DIRECT	GO:0003677~DNA binding	28	13.658536585365855	1.1856707961049352E-5	DLX2, DLX3, BNC2, DLX5, NR3C1, BARX2, NFIL3, SALL3, MYC, SOX9, BHLHA9, TFAP2A, IRX1, TFAP2B, JUN, IRX5, MSX2, IRX4, SOX13, KLF14, POU4F1, ETV4, DNAJC1, MYCN, LHX2, SP6, SP8, LMX1B	198	1593	28924	2.5676475996626653	0.005722245899185574	4.0990333236770615E-4	3.963528089836498E-4
GOTERM_BP_DIRECT	GO:0042472~inner ear morphogenesis	7	3.414634146341464	1.2148186544956866E-5	TFAP2A, EYA1, DLX5, WNT5A, HOXA1, GATA3, TBX3	202	75	29712	13.72831683168317	0.024904426274918734	6.004675063650108E-4	5.565026407737384E-4
GOTERM_BP_DIRECT	GO:0042060~wound healing	7	3.414634146341464	1.3115726263454809E-5	NRP1, TGFB2, MSX2, WNT5A, PLPP3, EVPL, DRD5	202	76	29712	13.547681083897865	0.026861074374410765	6.234793605148043E-4	5.778296192825065E-4
GOTERM_BP_DIRECT	GO:0001502~cartilage condensation	5	2.4390243902439024	1.3514726022719749E-5	TGFB2, MYCN, WNT7A, SOX9, BARX2	202	22	29712	33.42934293429343	0.027666825186950184	6.234793605148043E-4	5.778296192825065E-4
GOTERM_BP_DIRECT	GO:0048646~anatomical structure formation involved in morphogenesis	5	2.4390243902439024	1.3514726022719749E-5	BMP4, DLX5, LHX2, HOXA1, GATA3	202	22	29712	33.42934293429343	0.027666825186950184	6.234793605148043E-4	5.778296192825065E-4
