Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell population proliferation	15	6.637168141592921	7.195288498487467E-6	TFAP2A, TFAP2B, TGFB2, TGFB1, MSX2, P3H2, GATA3, SMAD6, TGFBR2, BMP4, GJB6, SMYD2, SPRY1, MSX1, SKAP2	225	394	26568	4.4954314720812185	0.015336711462229036	3.86386992368777E-4	3.6210289368638184E-4
GOTERM_BP_DIRECT	GO:0010718~positive regulation of epithelial to mesenchymal transition	7	3.0973451327433628	7.671253611824658E-6	BMP4, TGFB2, TGFB1, ZFP703, BAMBI, FERMT2, TGFBR2	225	56	26568	14.76	0.016342897727709693	4.018988477609601E-4	3.766398419659277E-4
GOTERM_BP_DIRECT	GO:0001942~hair follicle development	7	3.0973451327433628	8.513802078509073E-6	NGFR, TGFB2, DLX3, LHX2, SOX9, HOXC13, APCDD1	225	57	26568	14.501052631578949	0.0181215189932733	4.354201634437498E-4	4.08054371048542E-4
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	40	17.699115044247787	1.1105990707795535E-5	GRIA1, PRAG1, NTM, AHR, GATA3, NR3C1, APCDD1, MESD, CDH8, CDH2, NFIL3, MAN2A1, MYC, BTBD3, CLDN23, HAS3, ENPP1, HOXA1, SLC13A5, RAB11FIP2, RUNX1T1, FZD1, TFAP2A, NGFR, EPHA4, TGFB2, TGFB1, IRX5, TRPA1, HGF, GAD1, TXNRD1, SORBS2, SMAD6, BMP4, RALYL, FAP, LNX1, PLCB1, GAS7	222	2097	24521	2.106913780733523	0.0053830009025006564	5.997234982209589E-4	5.799795147404334E-4
UP_KW_PTM	KW-0325~Glycoprotein	85	37.610619469026545	1.4783569498870516E-5	CTNND2, VLDLR, PCSK6, SLC6A2, PCSK5, CDH8, SLC8A1, HS6ST3, GRM4, FGF8, CDH2, CHL1, CREB3L1, MYC, LRRTM1, ITGB8, ENPP1, SOSTDC1, HOXA1, SOST, CAR12, CMKLR1, HS3ST3B1, CHST8, EPHA4, UNC5B, HGF, WNT5A, KREMEN1, P3H2, EMP1, UNC5C, SLC39A14, SHISA7, TGFBR2, RGMA, ADAMTS20, ADAM9, ROR1, PLPP3, PLA2R1, FJX1, FREM1, CD44, EPHA2, ITGA9, GRIA1, PARM1, GPR87, NTM, NRXN3, PRCP, TNFRSF11A, APCDD1, SLC7A1, MESD, CRHR1, CACNA1I, MAN2A1, ADAMTS18, FLRT1, HAS3, SLC13A5, DRD5, FZD1, NGFR, WNT10B, TMEM132C, TGFB2, TGFB1, PCDH9, NEGR1, TRPA1, KCNB2, WNT7A, PTPRD, BMP4, FAP, BAMBI, UST, FAT3, LGR6, SDK2, ITM2B, SERINC5	176	4605	14128	1.4816898627973547	3.104090674493909E-4	3.252385289751513E-4	3.252385289751513E-4
GOTERM_MF_DIRECT	GO:0003677~DNA binding	41	18.141592920353983	1.5029280702077076E-5	DLX1, DLX2, DLX3, BNC2, DLX4, AHR, HOXC13, GATA3, NR3C1, BARX2, SALL1, NFIL3, SALL3, MYC, CREB3L1, ZIM1, HOXA1, SOX9, MSX1, BHLHA9, TFAP2A, IRX1, TFAP2B, IRX2, IRX5, MSX2, IRX4, EN1, KLF14, POU4F1, ETV4, MLXIPL, ZFP322A, DNAJC1, MYCN, LHX2, BHLHE40, SP8, SP7, LMX1B, TOX	222	2205	24521	2.053810953810954	0.0072776738504585214	7.304230421209458E-4	7.063761929976225E-4
GOTERM_BP_DIRECT	GO:0030279~negative regulation of ossification	6	2.6548672566371683	1.6300678811417954E-5	TGFB1, KREMEN1, ENPP1, SOST, SOX9, SMAD6	225	38	26568	18.64421052631579	0.034408240652128774	8.1427576946339E-4	7.630992197066125E-4
GOTERM_BP_DIRECT	GO:0048706~embryonic skeletal system development	7	3.0973451327433628	1.832170579196345E-5	BMP4, DLX1, DLX2, DLX3, DLX4, WNT5A, PCSK5	225	65	26568	12.71630769230769	0.038591021490449795	8.944323645713066E-4	8.382180399823278E-4
KEGG_PATHWAY	mmu05225:Hepatocellular carcinoma	11	4.867256637168142	1.913407839626169E-5	FZD1, WNT10B, TGFB2, TGFB1, HGF, TXNRD1, MYC, WNT5A, WNT7A, PIK3R1, TGFBR2	116	175	10620	5.754679802955665	0.0046578780773226525	0.0015562383762292842	0.0013648975922666672
INTERPRO	IPR003893:Iroquois_homeo	4	1.7699115044247788	1.9266260347344308E-5	IRX1, IRX2, IRX5, IRX4	224	6	22313	66.4077380952381	0.015503649296196076	0.0031249874283392465	0.003098014663852965
