"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"KEGG_PATHWAY","MicroRNAs in cancer","7","76","318","11151","1.99e-2","2.63e-1","3.23","9.55e-1","2.51e-1","5.83e-3","EFNA1,TPM1,HMGA2,CYP1B1,TRP63,IRS2,FGFR3"
"GOTERM_CC_DIRECT","synapse","11","144","878","26676","2.01e-2","2.42e-1","2.32","9.91e-1","2.30e-1","8.21e-3","TIAM1,PDE10A,DPYSL5,CTNNB1,CNTN2,GRIK1,ASIC2,LYPD6,LY6G6E,DSCAML1,PDZRN3"
"KEGG_PATHWAY","Regulation of actin cytoskeleton","6","76","234","11151","2.05e-2","2.63e-1","3.76","9.59e-1","2.51e-1","5.15e-3","TIAM1,ITGB5,GNA12,ITGAV,MYL9,FGFR3"
"GOTERM_BP_DIRECT","mesoderm formation","3","144","41","26481","2.07e-2","3.17e-1","13.46","1.00e+0","3.10e-1","1.44e-3","TBX6,BMP7,WLS"
"GOTERM_CC_DIRECT","Golgi membrane","9","144","632","26676","2.09e-2","2.42e-1","2.64","9.93e-1","2.30e-1","7.49e-3","SLC35B3,CHST9,LMAN1,HACE1,GALNT2,B3GNT2,ADAM10,RND3,WLS"
"INTERPRO","EGF-type_Asp/Asn_hydroxyl_site","4","147","90","22338","2.13e-2","1.00e+0","6.75","1.00e+0","1.00e+0","2.97e-3","JAG2,JAG1,FBLN2,DLL1"
"GOTERM_BP_DIRECT","negative regulation of inner ear auditory receptor cell differentiation","2","144","4","26481","2.14e-2","3.17e-1","91.95","1.00e+0","3.10e-1","1.75e-4","HES1,DLL1"
"GOTERM_BP_DIRECT","auditory receptor cell fate commitment","2","144","4","26481","2.14e-2","3.17e-1","91.95","1.00e+0","3.10e-1","1.75e-4","JAG2,DLL1"
"GOTERM_BP_DIRECT","regulation of timing of neuron differentiation","2","144","4","26481","2.14e-2","3.17e-1","91.95","1.00e+0","3.10e-1","1.75e-4","HES1,SOX5"
"GOTERM_BP_DIRECT","regulation of secondary heart field cardioblast proliferation","2","144","4","26481","2.14e-2","3.17e-1","91.95","1.00e+0","3.10e-1","1.75e-4","CTNNB1,HES1"
"GOTERM_BP_DIRECT","comma-shaped body morphogenesis","2","144","4","26481","2.14e-2","3.17e-1","91.95","1.00e+0","3.10e-1","1.75e-4","LHX1,HES1"
"GOTERM_BP_DIRECT","negative regulation of Notch signaling pathway","3","144","42","26481","2.17e-2","3.18e-1","13.14","1.00e+0","3.10e-1","1.55e-3","ARRB1,BMP7,DLL1"
"GOTERM_BP_DIRECT","retina development in camera-type eye","4","144","110","26481","2.19e-2","3.18e-1","6.69","1.00e+0","3.11e-1","3.10e-3","LHX1,BMPR1B,MERTK,DLL1"
"UP_KW_PTM","Myristate","6","121","188","14135","2.20e-2","1.25e-1","3.73","3.00e-1","1.25e-1","5.56e-3","ARL4C,RNF157,TIAM1,ARL4A,SLC44A1,HPCA"
"SMART","PH","7","95","255","10959","2.22e-2","1.00e+0","3.17","9.03e-1","1.00e+0","6.61e-3","PLEKHF2,TIAM1,PLEKHG1,IRS2,PHLDA1,SKAP1,DEF6"
"GOTERM_CC_DIRECT","axonal growth cone","3","144","44","26676","2.33e-2","2.49e-1","12.63","9.96e-1","2.36e-1","1.73e-3","TIAM1,PTCH1,BOC"
"GOTERM_BP_DIRECT","positive regulation of neuron differentiation","4","144","113","26481","2.35e-2","3.38e-1","6.51","1.00e+0","3.30e-1","3.41e-3","SOX2,LIN28A,IRX3,BMP7"
"GOTERM_CC_DIRECT","postsynaptic membrane","6","144","302","26676","2.36e-2","2.49e-1","3.68","9.96e-1","2.36e-1","6.07e-3","PTCH1,CTNNB1,CNTN2,ADAM10,GRIK1,ARRB1"
"GOTERM_BP_DIRECT","metanephros development","3","144","45","26481","2.46e-2","3.51e-1","12.26","1.00e+0","3.43e-1","1.89e-3","LHX1,IRX3,BMP7"
"GOTERM_MF_DIRECT","miRNA binding","3","143","42","24402","2.49e-2","5.34e-1","12.19","1.00e+0","5.28e-1","1.91e-3","SOX2,LIN28A,FGFR3"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 3","4","144","98","22331","2.51e-2","7.16e-1","6.33","1.00e+0","7.10e-1","3.75e-3","BOC,CNTN2,FGFR3,DSCAML1"
"INTERPRO","EGF_Ca-bd_CS","4","147","97","22338","2.58e-2","1.00e+0","6.27","1.00e+0","1.00e+0","3.88e-3","JAG2,JAG1,FBLN2,DLL1"
"GOTERM_CC_DIRECT","basolateral plasma membrane","6","144","311","26676","2.64e-2","2.66e-1","3.57","9.98e-1","2.52e-1","6.97e-3","ABCA1,CTNNB1,AQP4,ARRB1,KCNN4,AJAP1"
"GOTERM_BP_DIRECT","apolipoprotein A-I-mediated signaling pathway","2","144","5","26481","2.67e-2","3.71e-1","73.56","1.00e+0","3.62e-1","2.91e-4","ABCA1,ITGAV"
"GOTERM_BP_DIRECT","negative regulation of neuron maturation","2","144","5","26481","2.67e-2","3.71e-1","73.56","1.00e+0","3.62e-1","2.91e-4","EDNRB,TBX6"
"GOTERM_BP_DIRECT","bone trabecula morphogenesis","2","144","5","26481","2.67e-2","3.71e-1","73.56","1.00e+0","3.62e-1","2.91e-4","SBNO2,FGFR3"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type","3","144","41","22331","2.84e-2","7.51e-1","11.35","1.00e+0","7.45e-1","2.34e-3","ZFP503,ZFP608,FOXP4"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)","4","144","103","22331","2.86e-2","7.51e-1","6.02","1.00e+0","7.45e-1","4.48e-3","SOX2,TRP63,RORA,HIF1A"
"KEGG_PATHWAY","Hypertrophic cardiomyopathy","4","76","100","11151","2.97e-2","3.36e-1","5.87","9.90e-1","3.20e-1","4.77e-3","CACNB2,ITGB5,TPM1,ITGAV"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","9","89","496","11926","2.97e-2","2.79e-1","2.43","7.51e-1","2.73e-1","1.15e-2","PTPRU,ITGB5,BOC,CTNNB1,CNTN2,DSG2,ITGAV,DSCAML1,AJAP1"
"UP_KW_BIOLOGICAL_PROCESS","Osteogenesis","3","89","37","11926","3.03e-2","2.79e-1","10.86","7.58e-1","2.73e-1","2.60e-3","SBNO2,PKDCC,BMP7"
"GOTERM_BP_DIRECT","substrate adhesion-dependent cell spreading","3","144","51","26481","3.11e-2","4.21e-1","10.82","1.00e+0","4.11e-1","2.71e-3","EFNA1,ITGAV,MERTK"
