Category;Term;Count;List Total;Pop Hits;Pop Total;P-Value;Benjamini;Fold Enrichment;Bonferroni;FDR;Fisher Exact;User Ids
GOTERM_BP_DIRECT;camera-type eye development;3;144;95;26481;9.35E-02;6.76E-01;5.81;1.00E+00;6.61E-01;1.51E-02;JAG1,MAB21L1,BMPR1B
SMART;EGF_CA;4;95;126;10959;9.39E-02;1.00E+00;3.66;1.00E+00;1.00E+00;2.38E-02;JAG2,JAG1,FBLN2,DLL1
GOTERM_MF_DIRECT;transcription factor binding;2;143;17;24402;9.45E-02;9.58E-01;20.08;1.00E+00;9.47E-01;4.38E-03;FHL2,FOXO1
GOTERM_MF_DIRECT;DNA-binding transcription repressor activity;2;143;17;24402;9.45E-02;9.58E-01;20.08;1.00E+00;9.47E-01;4.38E-03;HES1,HIF1A
UP_SEQ_FEATURE;DNA_BIND:Homeobox;;;;;;;;;;;
GOTERM_BP_DIRECT;aorta morphogenesis;2;144;19;26481;9.78E-02;6.94E-01;19.36;1.00E+00;6.78E-01;4.73E-03;JAG1,HES1
GOTERM_BP_DIRECT;negative regulation of B cell apoptotic process;2;144;19;26481;9.78E-02;6.94E-01;19.36;1.00E+00;6.78E-01;4.73E-03;SLC39A10,IRS2
GOTERM_BP_DIRECT;keratinocyte proliferation;2;144;19;26481;9.78E-02;6.94E-01;19.36;1.00E+00;6.78E-01;4.73E-03;PTCH1,TRP63
GOTERM_BP_DIRECT;male genitalia development;2;144;19;26481;9.78E-02;6.94E-01;19.36;1.00E+00;6.78E-01;4.73E-03;SOX2,CTNNB1
GOTERM_MF_DIRECT;polypeptide N-acetylgalactosaminyltransferase activity;2;143;18;24402;9.98E-02;9.80E-01;18.96;1.00E+00;9.69E-01;4.91E-03;GALNT2,GALNT1
